<ID|readonly|noverify>;<Chinese>;<max_chars>;;;;;;;;;;;;;;;;;;;
uk_9a35_m_1;▄\t9A35M\t“箭”\t-10M;;;;;;;;;;;;;;;;;;;;
uk_9a35_m_2;自\t行\t防\t空\t炮;;;;;;;;;;;;;;;;;;;;
it_9a35_m_shop;◐ 9A35M\t“箭”\t-10M;;;;;;;;;;;;;;;;;;;;
it_9a35_m_0;◐ 9A35M\t“箭”\t-10M;;;;;;;;;;;;;;;;;;;;
it_9a35_m_1;◐ 9A35M\t“箭”\t-10M;;;;;;;;;;;;;;;;;;;;
it_9a35_m_2;自\t行\t防\t空\t炮;;;;;;;;;;;;;;;;;;;;
ussr_9a33bm3_shop;9A33BM3\t“黄\t蜂”\t-AKM;;;;;;;;;;;;;;;;;;;;
ussr_9a33bm3_0;9A33BM3\t“黄\t蜂”\t-AKM;;;;;;;;;;;;;;;;;;;;
ussr_9a33bm3_1;9A33BM3\t“黄\t蜂”\t-AKM;;;;;;;;;;;;;;;;;;;;
ussr_9a33bm3_2;自\t行\t防\t空\t炮;;;;;;;;;;;;;;;;;;;;
germ_9a33bm3_shop;▀\t9A33BM2\t“黄\t蜂”\t-AK;;;;;;;;;;;;;;;;;;;;
germ_9a33bm3_0;▀\t9A33BM2\t“黄\t蜂”\t-AK;;;;;;;;;;;;;;;;;;;;
germ_9a33bm3_1;▀\t9A33BM2\t“黄\t蜂”\t-AK;;;;;;;;;;;;;;;;;;;;
germ_9a33bm3_2;自\t行\t防\t空\t炮;;;;;;;;;;;;;;;;;;;;
it_9a33bm3_shop;⛨ 9A33BM3\t“黄\t蜂”\t-AKM;;;;;;;;;;;;;;;;;;;;
it_9a33bm3_0;⛨ 9A33BM3\t“黄\t蜂”\t-AKM;;;;;;;;;;;;;;;;;;;;
it_9a33bm3_1;⛨ 9A33BM3\t“黄\t蜂”\t-AKM;;;;;;;;;;;;;;;;;;;;
it_9a33bm3_2;自\t行\t防\t空\t炮;;;;;;;;;;;;;;;;;;;;
uk_9a33bm2_shop;▄\t9A33BM2\t“黄\t蜂”\t-AK;;;;;;;;;;;;;;;;;;;;
uk_9a33bm2_0;▄\t9A33BM2\t“黄\t蜂”\t-AK;;;;;;;;;;;;;;;;;;;;
uk_9a33bm2_1;▄\t9A33BM2\t“黄\t蜂”\t-AK;;;;;;;;;;;;;;;;;;;;
uk_9a33bm2_2;自\t行\t防\t空\t炮;;;;;;;;;;;;;;;;;;;;
ussr_pantsyr_s1_shop;96K6\t“铠\t甲”\t-S1;;;;;;;;;;;;;;;;;;;;
ussr_pantsyr_s1_0;96K6\t“铠\t甲”\t-S1\t（卡\t玛\t兹 6560）;;;;;;;;;;;;;;;;;;;;
ussr_pantsyr_s1_1;96K6\t“铠\t甲”\t-S1;;;;;;;;;;;;;;;;;;;;
ussr_pantsyr_s1_2;自\t行\t防\t空\t炮;;;;;;;;;;;;;;;;;;;;
ussr_buk_m3_launcher_shop;9A317M\t“山\t毛\t榉”\t-M3;;;;;;;;;;;;;;;;;;;;
ussr_buk_m3_launcher_0;9A317M\t“山\t毛\t榉”\t-M3;;;;;;;;;;;;;;;;;;;;
ussr_buk_m3_launcher_1;9A317M\t“山\t毛\t榉”\t-M3;;;;;;;;;;;;;;;;;;;;
ussr_buk_m3_launcher_2;起\t竖\t式\t防\t空\t导\t弹;;;;;;;;;;;;;;;;;;;;
ussr_buk_m3_fcs_shop;9S18M3\t“穹\t顶”\t-M3;;;;;;;;;;;;;;;;;;;;
ussr_buk_m3_fcs_0;9S18M3\t“穹\t顶”\t-M3;;;;;;;;;;;;;;;;;;;;
ussr_buk_m3_fcs_1;9S18M3\t“穹\t顶”\t-M3;;;;;;;;;;;;;;;;;;;;
ussr_buk_m3_fcs_2;目\t标\t捕\t获\t指\t示\t车;;;;;;;;;;;;;;;;;;;;
ussr_zsu_37_2_shop;ZSU-37-2\t“叶\t尼\t塞”;;;;;;;;;;;;;;;;;;;;
ussr_zsu_37_2_0;ZSU-37-2\t“叶\t尼\t塞”;;;;;;;;;;;;;;;;;;;;
ussr_zsu_37_2_1;ZSU-37-2;;;;;;;;;;;;;;;;;;;;
ussr_zsu_37_2_2;自\t行\t防\t空\t炮;;;;;;;;;;;;;;;;;;;;
ussr_zsu_37_shop;ZSU-37;;;;;;;;;;;;;;;;;;;;
ussr_zsu_37_0;ZSU-37;;;;;;;;;;;;;;;;;;;;
ussr_zsu_37_1;ZSU-37;;;;;;;;;;;;;;;;;;;;
ussr_zsu_37_2;自\t行\t防\t空\t炮;;;;;;;;;;;;;;;;;;;;
ussr_zut_37_shop;ZUT-37;;;;;;;;;;;;;;;;;;;;
ussr_zut_37_0;ZUT-37;;;;;;;;;;;;;;;;;;;;
ussr_zut_37_1;ZUT-37;;;;;;;;;;;;;;;;;;;;
ussr_zut_37_2;自\t行\t防\t空\t炮;;;;;;;;;;;;;;;;;;;;
ussr_gaz_mm_72k_shop;72-K 自\t行\t防\t空\t炮;;;;;;;;;;;;;;;;;;;;
ussr_gaz_mm_72k_0;72-K 自\t行\t防\t空\t炮\t（嘎\t斯\t-MM）;;;;;;;;;;;;;;;;;;;;
ussr_gaz_mm_72k_1;72-K 自\t行\t防\t空\t炮;;;;;;;;;;;;;;;;;;;;
ussr_gaz_mm_72k_2;自\t行\t防\t空\t炮;;;;;;;;;;;;;;;;;;;;
ussr_gaz_dshk_shop;德\t什\t卡\t自\t行\t防\t空\t机\t枪;;;;;;;;;;;;;;;;;;;;
ussr_gaz_dshk_0;德\t什\t卡\t自\t行\t防\t空\t机\t枪\t（嘎\t斯\t-AAA）;;;;;;;;;;;;;;;;;;;;
ussr_gaz_dshk_1;德\t什\t卡\t自\t行\t防\t空\t机\t枪;;;;;;;;;;;;;;;;;;;;
ussr_gaz_dshk_2;自\t行\t防\t空\t炮;;;;;;;;;;;;;;;;;;;;
ussr_zis_12_94KM_1945_shop;94-KM 自\t行\t防\t空\t炮;;;;;;;;;;;;;;;;;;;;
ussr_zis_12_94KM_1945_0;94-KM 自\t行\t防\t空\t炮\t（吉\t斯\t-12）;;;;;;;;;;;;;;;;;;;;
ussr_zis_12_94KM_1945_1;94-KM 自\t行\t防\t空\t炮;;;;;;;;;;;;;;;;;;;;
ussr_zis_12_94KM_1945_2;自\t行\t防\t空\t炮;;;;;;;;;;;;;;;;;;;;
ussr_gaz_4m_shop;4M 自\t行\t防\t空\t机\t枪;;;;;;;;;;;;;;;;;;;;
ussr_gaz_4m_0;4M 自\t行\t防\t空\t机\t枪\t（嘎\t斯\t-AAA）;;;;;;;;;;;;;;;;;;;;
ussr_gaz_4m_1;4M 自\t行\t防\t空\t机\t枪;;;;;;;;;;;;;;;;;;;;
ussr_gaz_4m_2;自\t行\t防\t空\t炮;;;;;;;;;;;;;;;;;;;;
ussr_gaz_mm_72k_without_crew_shop;72-K 自\t行\t防\t空\t炮;;;;;;;;;;;;;;;;;;;;
ussr_gaz_mm_72k_without_crew_0;72-K 自\t行\t防\t空\t炮\t（嘎\t斯\t-MM）;;;;;;;;;;;;;;;;;;;;
ussr_gaz_mm_72k_without_crew_1;72-K 自\t行\t防\t空\t炮;;;;;;;;;;;;;;;;;;;;
ussr_gaz_mm_72k_without_crew_2;自\t行\t防\t空\t炮;;;;;;;;;;;;;;;;;;;;
shop/group/germ_pzkpfw_III_group;三\t号\t坦\t克 F/J 型;;;;;;;;;;;;;;;;;;;;
germ_flakpanzer_V_Coelian_shop;341 防\t空\t坦\t克;;;;;;;;;;;;;;;;;;;;
germ_flakpanzer_V_Coelian_0;豹\t式\t底\t盘\t双\t联\t装 37 毫\t米\t防\t空\t炮\t（341 防\t空\t坦\t克）;;;;;;;;;;;;;;;;;;;;
germ_flakpanzer_V_Coelian_1;341 防\t空\t坦\t克;;;;;;;;;;;;;;;;;;;;
germ_flakpanzer_V_Coelian_2;自\t行\t防\t空\t炮;;;;;;;;;;;;;;;;;;;;
germ_flakpz_1a2_Gepard_shop;“猎\t豹”\t1A2 防\t空\t坦\t克;;;;;;;;;;;;;;;;;;;;
germ_flakpz_1a2_Gepard_0;“猎\t豹”\t1A2 防\t空\t坦\t克;;;;;;;;;;;;;;;;;;;;
germ_flakpz_1a2_Gepard_1;“猎\t豹”\t1A2 防\t空\t坦\t克;;;;;;;;;;;;;;;;;;;;
germ_flakpz_1a2_Gepard_2;自\t行\t防\t空\t炮;;;;;;;;;;;;;;;;;;;;
germ_flakpz_I_Gepard_shop;“猎\t豹”\t防\t空\t坦\t克;;;;;;;;;;;;;;;;;;;;
germ_flakpz_I_Gepard_0;“猎\t豹”\t防\t空\t坦\t克;;;;;;;;;;;;;;;;;;;;
germ_flakpz_I_Gepard_1;“猎\t豹”\t防\t空\t坦\t克;;;;;;;;;;;;;;;;;;;;
germ_flakpz_I_Gepard_2;自\t行\t防\t空\t炮;;;;;;;;;;;;;;;;;;;;
germ_flakpanzer_IV_Wirbelwind_shop;“旋\t风”\t防\t空\t坦\t克;;;;;;;;;;;;;;;;;;;;
germ_flakpanzer_IV_Wirbelwind_0;四\t号\t防\t空\t坦\t克\t/四\t联\t装 20 毫\t米 Flak 38 防\t空\t炮\t（161/4 号\t特\t种\t车\t辆）;;;;;;;;;;;;;;;;;;;;
germ_flakpanzer_IV_Wirbelwind_1;“旋\t风”\t防\t空\t坦\t克;;;;;;;;;;;;;;;;;;;;
germ_flakpanzer_IV_Wirbelwind_2;自\t行\t防\t空\t炮;;;;;;;;;;;;;;;;;;;;
germ_flakpanzer_zerstorer_45_shop;四\t号\t防\t空\t坦\t克\t/四\t联\t装 30 毫\t米;;;;;;;;;;;;;;;;;;;;
germ_flakpanzer_zerstorer_45_0;四\t号\t防\t空\t坦\t克\t/四\t联\t装 30 毫\t米 MK 103 机\t关\t炮;;;;;;;;;;;;;;;;;;;;
germ_flakpanzer_zerstorer_45_1;四\t号\t防\t空\t坦\t克\t/四\t联\t装 30 毫\t米;;;;;;;;;;;;;;;;;;;;
germ_flakpanzer_zerstorer_45_2;自\t行\t防\t空\t炮;;;;;;;;;;;;;;;;;;;;
germ_flakpanzer_IV_Ostwind_shop;“东\t风”\t防\t空\t坦\t克;;;;;;;;;;;;;;;;;;;;
germ_flakpanzer_IV_Ostwind_0;四\t号\t防\t空\t坦\t克\t/37 毫\t米 Flak 43 防\t空\t炮\t（161/4 号\t特\t种\t车\t辆）;;;;;;;;;;;;;;;;;;;;
germ_flakpanzer_IV_Ostwind_1;“东\t风”\t防\t空\t坦\t克;;;;;;;;;;;;;;;;;;;;
germ_flakpanzer_IV_Ostwind_2;自\t行\t防\t空\t炮;;;;;;;;;;;;;;;;;;;;
germ_flakpanzer_IV_Kugelblitz_shop;“球\t形\t闪\t电”\t防\t空\t坦\t克;;;;;;;;;;;;;;;;;;;;
germ_flakpanzer_IV_Kugelblitz_0;四\t号\t防\t空\t坦\t克\t/双\t联\t装 30 毫\t米 MK 103 机\t关\t炮;;;;;;;;;;;;;;;;;;;;
germ_flakpanzer_IV_Kugelblitz_1;“球\t形\t闪\t电”\t防\t空\t坦\t克;;;;;;;;;;;;;;;;;;;;
germ_flakpanzer_IV_Kugelblitz_2;自\t行\t防\t空\t炮;;;;;;;;;;;;;;;;;;;;
germ_pzkpfw_e_100_shop;E-100;;;;;;;;;;;;;;;;;;;;
germ_pzkpfw_e_100_0;E-100 型\t开\t发\t坦\t克\t（鼠\t式\t炮\t塔）;;;;;;;;;;;;;;;;;;;;
germ_pzkpfw_e_100_1;E-100 型\t坦\t克;;;;;;;;;;;;;;;;;;;;
germ_pzkpfw_e_100_2;重\t型\t坦\t克;;;;;;;;;;;;;;;;;;;;
germ_pzkpfw_Maus_shop;鼠\t式\t坦\t克;;;;;;;;;;;;;;;;;;;;
germ_pzkpfw_Maus_0;八\t号\t坦\t克\t“鼠”;;;;;;;;;;;;;;;;;;;;
germ_pzkpfw_Maus_1;鼠\t式\t坦\t克;;;;;;;;;;;;;;;;;;;;
germ_pzkpfw_Maus_2;重\t型\t坦\t克;;;;;;;;;;;;;;;;;;;;
germ_pzkpfw_VI_ausf_b_tiger_IIp_shop;“虎\t王”\t(预\t生\t产\t型);;;;;;;;;;;;;;;;;;;;
germ_pzkpfw_VI_ausf_b_tiger_IIp_0;六\t号\t坦\t克 B 型\t“虎”\tII\t（182 号\t特\t种\t车\t辆）\t（预\t生\t产\t型\t炮\t塔）;;;;;;;;;;;;;;;;;;;;
germ_pzkpfw_VI_ausf_b_tiger_IIp_1;“虎\t王”\t(预\t生\t产\t型);;;;;;;;;;;;;;;;;;;;
germ_pzkpfw_VI_ausf_b_tiger_IIp_2;重\t型\t坦\t克;;;;;;;;;;;;;;;;;;;;
germ_pzkpfw_VI_ausf_b_tiger_IIh_shop;“虎\t王”\t(量\t产\t型);;;;;;;;;;;;;;;;;;;;
germ_pzkpfw_VI_ausf_b_tiger_IIh_0;六\t号\t坦\t克 B 型\t“虎”\tII\t（182 号\t特\t种\t车\t辆）\t（量\t产\t型\t炮\t塔）;;;;;;;;;;;;;;;;;;;;
germ_pzkpfw_VI_ausf_b_tiger_IIh_1;“虎\t王”\t(量\t产\t型);;;;;;;;;;;;;;;;;;;;
germ_pzkpfw_VI_ausf_b_tiger_IIh_2;重\t型\t坦\t克;;;;;;;;;;;;;;;;;;;;
germ_pzkpfw_VI_ausf_b_tiger_IIh_sla_shop;“虎\t王”\t(量\t产\t型)\t(Sla 16);;;;;;;;;;;;;;;;;;;;
germ_pzkpfw_VI_ausf_b_tiger_IIh_sla_0;六\t号\t坦\t克 B 型\t“虎”\tII\t（182 号\t特\t种\t车\t辆）\t（量\t产\t型\t炮\t塔、\tSla 16 柴\t油\t机）;;;;;;;;;;;;;;;;;;;;
germ_pzkpfw_VI_ausf_b_tiger_IIh_sla_1;“虎\t王”\t(量\t产\t型);;;;;;;;;;;;;;;;;;;;
germ_pzkpfw_VI_ausf_b_tiger_IIh_sla_2;重\t型\t坦\t克;;;;;;;;;;;;;;;;;;;;
germ_pzkpfw_VI_ausf_b_tiger_IIh_kwk46_shop;“虎\t王”\t(量\t产\t型)\t/105 毫\t米;;;;;;;;;;;;;;;;;;;;
germ_pzkpfw_VI_ausf_b_tiger_IIh_kwk46_0;六\t号\t坦\t克 B 型\t“虎”\tII\t（182 号\t特\t种\t车\t辆）\t（量\t产\t型\t炮\t塔）\t/105 毫\t米 L/68 坦\t克\t炮;;;;;;;;;;;;;;;;;;;;
germ_pzkpfw_VI_ausf_b_tiger_IIh_kwk46_1;“虎\t王”\t(量\t产\t型)/105 毫\t米;;;;;;;;;;;;;;;;;;;;
germ_pzkpfw_VI_ausf_b_tiger_IIh_kwk46_2;重\t型\t坦\t克;;;;;;;;;;;;;;;;;;;;
germ_panzerjager_tiger_P_elefant_shop;“象”\t式\t坦\t克\t歼\t击\t车;;;;;;;;;;;;;;;;;;;;
germ_panzerjager_tiger_P_elefant_0;虎 (P) 式\t坦\t克\t歼\t击\t车\t“象”\t（184 号\t特\t种\t车\t辆）;;;;;;;;;;;;;;;;;;;;
germ_panzerjager_tiger_P_elefant_1;“象”\t式\t坦\t克\t歼\t击\t车;;;;;;;;;;;;;;;;;;;;
germ_panzerjager_tiger_P_elefant_2;自\t行\t火\t炮;;;;;;;;;;;;;;;;;;;;
germ_panzerjager_tiger_P_ferdinand_shop;“斐\t迪\t南”\t坦\t克\t歼\t击\t车;;;;;;;;;;;;;;;;;;;;
germ_panzerjager_tiger_P_ferdinand_0;虎 (P) 式\t坦\t克\t歼\t击\t车\t“斐\t迪\t南“\t（184 号\t特\t种\t车\t辆）;;;;;;;;;;;;;;;;;;;;
germ_panzerjager_tiger_P_ferdinand_1;“斐\t迪\t南”\t坦\t克\t歼\t击\t车;;;;;;;;;;;;;;;;;;;;
germ_panzerjager_tiger_P_ferdinand_2;自\t行\t火\t炮;;;;;;;;;;;;;;;;;;;;
germ_stug_III_ausf_A_shop;三\t号\t突\t击\t炮 A 型;;;;;;;;;;;;;;;;;;;;
germ_stug_III_ausf_A_0;三\t号\t突\t击\t炮 A 型\t（142 号\t特\t种\t车\t辆）;;;;;;;;;;;;;;;;;;;;
germ_stug_III_ausf_A_1;三\t号\t突\t击\t炮 A 型;;;;;;;;;;;;;;;;;;;;
germ_stug_III_ausf_A_2;自\t行\t火\t炮;;;;;;;;;;;;;;;;;;;;
germ_stuh_III_ausf_G_shop;三\t号\t突\t击\t榴\t弹\t炮 G 型;;;;;;;;;;;;;;;;;;;;
germ_stuh_III_ausf_G_0;三\t号\t突\t击\t榴\t弹\t炮 G 型\t（142/2 号\t特\t种\t车\t辆）;;;;;;;;;;;;;;;;;;;;
germ_stuh_III_ausf_G_1;三\t号\t突\t击\t榴\t弹\t炮 G 型;;;;;;;;;;;;;;;;;;;;
germ_stuh_III_ausf_G_2;自\t行\t火\t炮;;;;;;;;;;;;;;;;;;;;
germ_stug_III_ausf_G_shop;三\t号\t突\t击\t炮 G 型;;;;;;;;;;;;;;;;;;;;
germ_stug_III_ausf_G_0;三\t号\t突\t击\t炮 G 型\t（142/1 号\t特\t种\t车\t辆）;;;;;;;;;;;;;;;;;;;;
germ_stug_III_ausf_G_1;三\t号\t突\t击\t炮 G 型;;;;;;;;;;;;;;;;;;;;
germ_stug_III_ausf_G_2;自\t行\t火\t炮;;;;;;;;;;;;;;;;;;;;
germ_stug_III_ausf_F_shop;三\t号\t突\t击\t炮 F 型;;;;;;;;;;;;;;;;;;;;
germ_stug_III_ausf_F_0;三\t号\t突\t击\t炮 F 型\t（142/1 号\t特\t种\t车\t辆）;;;;;;;;;;;;;;;;;;;;
germ_stug_III_ausf_F_1;三\t号\t突\t击\t炮 F 型;;;;;;;;;;;;;;;;;;;;
germ_stug_III_ausf_F_2;自\t行\t火\t炮;;;;;;;;;;;;;;;;;;;;
germ_pzkpfw_38t_Marder_III_ausf_H_shop;“黄\t鼠\t狼”\tIII H 型;;;;;;;;;;;;;;;;;;;;
germ_pzkpfw_38t_Marder_III_ausf_H_0;38(t) H 型\t底\t盘 75 毫\t米 PaK 40/3 自\t行\t反\t坦\t克\t炮（138 号\t特\t种\t车\t辆）;;;;;;;;;;;;;;;;;;;;
germ_pzkpfw_38t_Marder_III_ausf_H_1;“黄\t鼠\t狼”\tIII H 型;;;;;;;;;;;;;;;;;;;;
germ_pzkpfw_38t_Marder_III_ausf_H_2;自\t行\t火\t炮;;;;;;;;;;;;;;;;;;;;
germ_pzkpfw_38t_Marder_III_shop;“黄\t鼠\t狼”\tIII;;;;;;;;;;;;;;;;;;;;
germ_pzkpfw_38t_Marder_III_0;38(t) 底\t盘 76 毫\t米 Pak 36(r) 自\t行\t反\t坦\t克\t炮\t（139 号\t特\t种\t车\t辆）;;;;;;;;;;;;;;;;;;;;
germ_pzkpfw_38t_Marder_III_1;“黄\t鼠\t狼”\tIII;;;;;;;;;;;;;;;;;;;;
germ_pzkpfw_38t_Marder_III_2;自\t行\t火\t炮;;;;;;;;;;;;;;;;;;;;
germ_sturmpanzer_II_shop;二\t号\t突\t击\t坦\t克;;;;;;;;;;;;;;;;;;;;
germ_sturmpanzer_II_0;二\t号\t坦\t克 B 型\t底\t盘 150 毫\t米 s.I.G 33 重\t型\t步\t兵\t炮;;;;;;;;;;;;;;;;;;;;
germ_sturmpanzer_II_1;二\t号\t突\t击\t坦\t克;;;;;;;;;;;;;;;;;;;;
germ_sturmpanzer_II_2;自\t行\t火\t炮;;;;;;;;;;;;;;;;;;;;
germ_leichter_ladungstrager_303a_shop;“歌\t利\t亚”;;;;;;;;;;;;;;;;;;;;
germ_leichter_ladungstrager_303a_0;轻\t型\t爆\t炸\t物\t运\t载\t车 B 型\t“歌\t利\t亚”\t（303a 号\t特\t种\t车\t辆）;;;;;;;;;;;;;;;;;;;;
germ_leichter_ladungstrager_303a_1;“歌\t利\t亚”;;;;;;;;;;;;;;;;;;;;
germ_leichter_ladungstrager_303a_2;自\t行\t火\t炮;;;;;;;;;;;;;;;;;;;;
germ_sturmmorser_sturmtiger_shop;“突\t击\t虎”\t突\t击\t迫\t击\t炮;;;;;;;;;;;;;;;;;;;;
germ_sturmmorser_sturmtiger_0;突\t击\t迫\t击\t炮\t运\t载\t车 606/4 搭\t载 380 毫\t米 RW 61;;;;;;;;;;;;;;;;;;;;
germ_sturmmorser_sturmtiger_1;“突\t击\t虎”\t突\t击\t迫\t击\t炮;;;;;;;;;;;;;;;;;;;;
germ_sturmmorser_sturmtiger_2;自\t行\t火\t炮;;;;;;;;;;;;;;;;;;;;
germ_sturmmorser_sturmtiger_event_shop;“突\t击\t虎”\t突\t击\t迫\t击\t炮;;;;;;;;;;;;;;;;;;;;
germ_sturmmorser_sturmtiger_event_0;突\t击\t迫\t击\t炮\t运\t载\t车 606/4 搭\t载 380 毫\t米 RW 61;;;;;;;;;;;;;;;;;;;;
germ_sturmmorser_sturmtiger_event_1;“突\t击\t虎”\t突\t击\t迫\t击\t炮;;;;;;;;;;;;;;;;;;;;
germ_sturmmorser_sturmtiger_event_2;自\t行\t火\t炮;;;;;;;;;;;;;;;;;;;;
germ_sturmpanzer_IV_brummbar_shop;四\t号\t突\t击\t坦\t克\t“灰\t熊”;;;;;;;;;;;;;;;;;;;;
germ_sturmpanzer_IV_brummbar_0;四\t号\t突\t击\t炮 150 毫\t米 43 型\t突\t击\t榴\t弹\t炮 II 型\t（166 号\t特\t种\t车\t辆）;;;;;;;;;;;;;;;;;;;;
germ_sturmpanzer_IV_brummbar_1;四\t号\t突\t击\t坦\t克;;;;;;;;;;;;;;;;;;;;
germ_sturmpanzer_IV_brummbar_2;自\t行\t火\t炮;;;;;;;;;;;;;;;;;;;;
germ_panzerjager_nashorn_shop;“犀\t牛”\t自\t行\t反\t坦\t克\t炮;;;;;;;;;;;;;;;;;;;;
germ_panzerjager_nashorn_0;三\t／\t四\t号\t火\t炮\t运\t载\t车\t底\t盘 88 毫\t米 PaK 43/1 L/71 自\t行\t反\t坦\t克\t炮\t（164 号\t特\t种\t车\t辆）;;;;;;;;;;;;;;;;;;;;
germ_panzerjager_nashorn_1;“犀\t牛”\t自\t行\t反\t坦\t克\t炮;;;;;;;;;;;;;;;;;;;;
germ_panzerjager_nashorn_2;自\t行\t火\t炮;;;;;;;;;;;;;;;;;;;;
germ_pzsfl_IVa_dickermax_shop;“大\t马\t克\t斯”\t自\t行\t反\t坦\t克\t炮;;;;;;;;;;;;;;;;;;;;
germ_pzsfl_IVa_dickermax_0;IVa 型\t装\t甲\t自\t行\t底\t盘\t搭\t载 105 毫\t米 K18;;;;;;;;;;;;;;;;;;;;
germ_pzsfl_IVa_dickermax_1;“大\t马\t克\t斯”\t自\t行\t反\t坦\t克\t炮;;;;;;;;;;;;;;;;;;;;
germ_pzsfl_IVa_dickermax_2;自\t行\t火\t炮;;;;;;;;;;;;;;;;;;;;
germ_amd_35_kwk39_shop;▀\t204 (f) 装\t甲\t侦\t查\t车\t/KwK 39;;;;;;;;;;;;;;;;;;;;
germ_amd_35_kwk39_0;▀\t204 (f) 装\t甲\t侦\t查\t车\t/KwK 39;;;;;;;;;;;;;;;;;;;;
germ_amd_35_kwk39_1;▀\t204 (f) 装\t甲\t侦\t查\t车\t/KwK 39;;;;;;;;;;;;;;;;;;;;
germ_amd_35_kwk39_2;轻\t型\t坦\t克;;;;;;;;;;;;;;;;;;;;
germ_amd_35_kwk_shop;▀\t204 (f) 装\t甲\t侦\t查\t车\t/KwK 38;;;;;;;;;;;;;;;;;;;;
germ_amd_35_kwk_0;▀\t204 (f) 装\t甲\t侦\t查\t车\t/KwK 38;;;;;;;;;;;;;;;;;;;;
germ_amd_35_kwk_1;▀\t204 (f) 装\t甲\t侦\t查\t车\t/KwK 38;;;;;;;;;;;;;;;;;;;;
germ_amd_35_kwk_2;轻\t型\t坦\t克;;;;;;;;;;;;;;;;;;;;
germ_sdkfz_222_shop;Sd.Kfz. 222;;;;;;;;;;;;;;;;;;;;
germ_sdkfz_222_0;轻\t型\t装\t甲\t侦\t察\t车 B 型\t（5 批\t次）\t（222 号\t特\t种\t车\t辆）;;;;;;;;;;;;;;;;;;;;
germ_sdkfz_222_1;Sd.Kfz. 222;;;;;;;;;;;;;;;;;;;;
germ_sdkfz_222_2;装\t甲\t车;;;;;;;;;;;;;;;;;;;;
germ_sdkfz_251_21_shop;Sd.Kfz. 251/21;;;;;;;;;;;;;;;;;;;;
germ_sdkfz_251_21_0;中\t型\t步\t兵\t装\t甲\t车 D 型\t（三\t联\t装 MG 151）\t（251/21 号\t特\t种\t车\t辆）;;;;;;;;;;;;;;;;;;;;
germ_sdkfz_251_21_1;Sd.Kfz. 251/21;;;;;;;;;;;;;;;;;;;;
germ_sdkfz_251_21_2;自\t行\t防\t空\t炮;;;;;;;;;;;;;;;;;;;;
ussr_sdkfz_251_21_kit_3rank_shop;▂\tSd.Kfz. 251/21\t（第 58 近\t卫\t步\t枪\t师）;;;;;;;;;;;;;;;;;;;;
ussr_sdkfz_251_21_kit_3rank_0;▂\t中\t型\t步\t兵\t装\t甲\t车 D 型\t（三\t联\t装 MG 151）\t（251/21 号\t特\t种\t车\t辆）\t（第 58 近\t卫\t步\t枪\t师）;;;;;;;;;;;;;;;;;;;;
ussr_sdkfz_251_21_kit_3rank_1;▂\tSd.Kfz. 251/21;;;;;;;;;;;;;;;;;;;;
ussr_sdkfz_251_21_kit_3rank_2;自\t行\t防\t空\t炮;;;;;;;;;;;;;;;;;;;;
germ_sdkfz_251_22_shop;Sd.Kfz. 251/22;;;;;;;;;;;;;;;;;;;;
germ_sdkfz_251_22_0;中\t型\t步\t兵\t装\t甲\t车 D 型\t（75 毫米 PaK 40/3）\t（251/22 号\t特\t种\t车\t辆）;;;;;;;;;;;;;;;;;;;;
germ_sdkfz_251_22_1;Sd.Kfz. 251/22;;;;;;;;;;;;;;;;;;;;
germ_sdkfz_251_22_2;自\t行\t火\t炮;;;;;;;;;;;;;;;;;;;;
germ_sdkfz_251_9_shop;Sd.Kfz. 251/9;;;;;;;;;;;;;;;;;;;;
germ_sdkfz_251_9_0;中\t型\t步\t兵\t装\t甲\t车 D 型\t（75 毫米 K 51）\t（251/9 号\t特\t种\t车\t辆）;;;;;;;;;;;;;;;;;;;;
germ_sdkfz_251_9_1;Sd.Kfz. 251/9;;;;;;;;;;;;;;;;;;;;
germ_sdkfz_251_9_2;自\t行\t火\t炮;;;;;;;;;;;;;;;;;;;;
germ_sdkfz_251_10_shop;Sd.Kfz. 251/10;;;;;;;;;;;;;;;;;;;;
germ_sdkfz_251_10_0;中\t型\t步\t兵\t装\t甲\t车 D 型\t（37 毫米 PaK L/45）\t（251/10 号\t特\t种\t车\t辆）;;;;;;;;;;;;;;;;;;;;
germ_sdkfz_251_10_1;Sd.Kfz. 251/10;;;;;;;;;;;;;;;;;;;;
germ_sdkfz_251_10_2;自\t行\t火\t炮;;;;;;;;;;;;;;;;;;;;
germ_pzkpfw_38t_Aufklarungspanzer_shop;38(t) 侦\t查\t坦\t克;;;;;;;;;;;;;;;;;;;;
germ_pzkpfw_38t_Aufklarungspanzer_0;38(t) 侦\t查\t坦\t克\t（140/1 号\t特\t种\t车\t辆）;;;;;;;;;;;;;;;;;;;;
germ_pzkpfw_38t_Aufklarungspanzer_1;38(t) 侦\t查\t坦\t克;;;;;;;;;;;;;;;;;;;;
germ_pzkpfw_38t_Aufklarungspanzer_2;轻\t型\t坦\t克;;;;;;;;;;;;;;;;;;;;
germ_sdkfz_9_flak37_shop;88 毫\t米 FlaK 37 自\t行\t高\t射\t炮;;;;;;;;;;;;;;;;;;;;
germ_sdkfz_9_flak37_0;18 吨\t重\t型\t牵\t引\t车 88 毫\t米 FlaK 37 自\t行\t高\t射\t炮;;;;;;;;;;;;;;;;;;;;
