<ID|readonly|noverify>;<Chinese>
weapons/su_s_24b_rocket;S-24B 火\t箭\t弹
weapons/su_s_24b_rocket/short;S-24B
weapons/in_nasser_240;“纳\t赛\t尔”\t240 火\t箭\t弹
weapons/in_nasser_240/short;“纳\t赛\t尔”\t240
weapons/su_s_25l_rocket;S-25L 火\t箭\t弹
weapons/su_s_25l_rocket/short;S-25L
weapons/su_s_25ld_rocket;S-25LD 火\t箭\t弹
weapons/su_s_25ld_rocket/short;S-25LD
weapons/su_s_25ofm_rocket;S-25OFM 火\t箭\t弹
weapons/su_s_25ofm_rocket/short;S-25OFM
weapons/su_s_25of_rocket;S-25OF 火\t箭\t弹
weapons/su_s_25of_rocket/short;S-25OF
weapons/su_s_25o_rocket;S-25O 火\t箭\t弹
weapons/su_s_25o_rocket/short;S-25O
weapons/us_11_75_in_tiny_tim;“小\t蒂\t姆”\t火\t箭\t弹
weapons/us_5_in_hvar_a;高\t速\t空\t射\t火\t箭\t弹\t（HVAR）
weapons/us_5_in_hvar_b;高\t速\t空\t射\t火\t箭\t弹\t（HVAR）
weapons/us_5_in_hvar_a_default;高\t速\t空\t射\t火\t箭\t弹\t（HVAR）
weapons/us_5_in_hvar_b_default;高\t速\t空\t射\t火\t箭\t弹\t（HVAR）
weapons/us_11_75_in_tiny_tim_army;“小\t蒂\t姆”\t火\t箭\t弹
weapons/uk_hvar;高\t速\t空\t射\t火\t箭\t弹\t（HVAR）
weapons/uk_rocket;火\t箭\t弹
weapons/us_5_in_ar_mk1;空\t射\t火\t箭\t弹\t（AR）
weapons/us_5_in_ar_mk1/short;AR
weapons/uk_rp3;RP-3 火\t箭\t弹
weapons/uk_rp3_2;RP-3 火\t箭\t弹
weapons/uk_rp3_3;RP-3 火\t箭\t弹
weapons/uk_rp3_4a;RP-3 火\t箭\t弹
weapons/uk_rp3_4a_late;RP-3 火\t箭\t弹
weapons/uk_rp3_4a_late/short;RP-3
weapons/uk_rp3_4a_default;RP-3 火\t箭\t弹
weapons/uk_rp3_4a_default/short;RP-3
weapons/de_r4m_pb2_rocket;Pb2 火\t箭\t弹
weapons/uk_rp3_4b;RP-3 火\t箭\t弹
weapons/uk_rp3_4b_late;RP-3 火\t箭\t弹
weapons/uk_rp3_4b_late/short;RP-3
weapons/uk_rp3_2_late;RP-3 火\t箭\t弹
weapons/uk_rp3_2_late/short;RP-3
weapons/uk_rp3_late;RP-3 火\t箭\t弹
weapons/uk_rp3_late/short;RP-3
weapons/swd_m41_torpedo;m/41 鱼\t雷
weapons/swd_m41_torpedo/short;m/41
weapons/swd_m36_torpedo;m/36 鱼\t雷
weapons/swd_m36_torpedo/short;m/36
weapons/swd_m38_torpedo;m/38 鱼\t雷
weapons/swd_m38_torpedo/short;m/38
weapons/il_100_50_kg_gp;100/50 GP 炸\t弹
weapons/il_100_50_kg_gp/short;100 千\t克
weapons/il_250_50_kg_gp;250/50 GP 炸\t弹
weapons/il_250_50_kg_gp/short;250 千\t克
weapons/il_360_50_kg_gp;360/50 GP 炸\t弹
weapons/il_360_50_kg_gp/short;360 千\t克
weapons/il_500_50_kg_gp;500/50 GP 炸\t弹
weapons/il_500_50_kg_gp/short;500 千\t克
weapons/br_bafg_230;230 千\t克 BAFG-230 炸\t弹
weapons/br_bafg_230/short;BAFG-230
weapons/br_bafg_230_default;230 千\t克 BAFG-230 炸\t弹
weapons/br_bafg_230_default/short;BAFG-230
weapons/br_bafg_230_2;230 千\t克 BFA-230/2 球\t伞\t减\t速\t高\t阻\t炸\t弹
weapons/br_bafg_230_2/short;BFA-230/2
weapons/br_bafg_230_2_default;230 千\t克 BFA-230/2 球\t伞\t减\t速\t高\t阻\t炸\t弹
weapons/br_bafg_230_2_default/short;BFA-230/2
weapons/br_bafg_460;460 千\t克 BAFG-460 炸\t弹
weapons/br_bafg_460/short;BAFG-460
weapons/br_bafg_460_2;460 千\t克 BFA-460/2 球\t伞\t减\t速\t高\t阻\t炸\t弹
weapons/br_bafg_460_2/short;BFA-460/2
weapons/br_bafg_460_2_default;460 千\t克 BFA-460/2 球\t伞\t减\t速\t高\t阻\t炸\t弹
weapons/br_bafg_460_2_default/short;BFA-460/2
weapons/br_bafg_920;920 千\t克 BAFG-920 炸\t弹
weapons/br_bafg_920/short;BAFG-920
weapons/jp_type91mod2_torpedo;九\t一\t式\t航\t空\t鱼\t雷\t改\t二\t（835 千\t克）
weapons/jp_type91mod3_torpedo;九\t一\t式\t航\t空\t鱼\t雷\t改\t三\t（850 千\t克）
weapons/uk_mk12_torpedo;450 毫\t米 18 英\t寸 Mk XII 鱼\t雷\t（1,548 磅）
weapons/us_mk13_torpedo;Mark 13 Mod 6 鱼\t雷\t（盒\t式\t稳\t定\t器，\t2,216 磅）
weapons/us_mk13_torpedo_tutorial;Mark 13 Mod 1 鱼\t雷\t（盒\t式\t稳\t定\t器，\t2,216 磅）
weapons/us_mk13_torpedo_no_case;Mark 13 Mod 6 鱼\t雷\t（2,216 磅）
weapons/us_mk13_mod1;Mark 13 Mod 1 鱼\t雷 (2,216 磅)
weapons/us_mk13_mod1/short;Mark 13
weapons/us_mk13_torpedo_weak;Mark 13 Mod 6 鱼\t雷\t（2,216 磅）
weapons/su_45_36an_1939_torpedo;450 毫\t米 45-36AN 鱼\t雷
weapons/su_45_36man_1952_torpedo;450 毫\t米 45-36MAN 鱼\t雷
weapons/it_f200_450_torpedo;450 毫\t米 F200/450x5.46 型\t鱼\t雷
weapons/it_f200_450_torpedo_no_fin;450 毫\t米 F200/450x5.46 型\t鱼\t雷
weapons/su_45_54vt_1954_torpedo;450 毫\t米 45-54VT 鱼\t雷
weapons/su_45_54vt_1954_torpedo/short;45-54VT
weapons/uk_mk15_torpedo;450 毫\t米 18 英\t寸 Mk XV 鱼\t雷\t（1,801 磅）
weapons/uk_mk15_torpedo_no_stab;450 毫\t米 18 英\t寸 Mk XV 鱼\t雷\t（1,801 磅）
weapons/uk_mk15_torpedo_no_stab/short;Mk XV
weapons/us_1000lb_anm65a1;1,000 磅 AN-M65A1 炸\t弹
weapons/us_1000lb_anm65a1_default;1,000 磅 AN-M65A1 炸\t弹
weapons/us_1000lb_anm65a1_default/short;1,000 磅
weapons/us_100lb_anm30;100 磅 AN-M30A1 炸\t弹
weapons/us_250lb_anm57;250 磅 AN-M57 炸\t弹
weapons/us_250lb_anm57_default;250 磅 AN-M57 炸\t弹
weapons/us_250lb_anm57_default/short;250 磅
weapons/us_500lb_anm64a1;500 磅 AN-M64A1 炸\t弹
weapons/us_1000lb_anm65a1_rod;1,000 磅 AN-M65A1 炸\t弹
weapons/us_500lb_anm64a1_rod;500 磅 AN-M64A1 炸\t弹
weapons/us_250lb_mk_81_ldgp;250 磅 LDGP Mark 81 炸\t弹
weapons/us_500lb_mk_82_ldgp;500 磅 LDGP Mark 82 炸\t弹
weapons/us_500lb_mk_82_ldgp_default;500 磅 LDGP Mark 82 炸\t弹
weapons/us_1000lb_mk_83_ldgp;1,000 磅 LDGP Mark 83 炸\t弹
weapons/us_1000lb_mk_83_ldgp_default;1,000 磅 LDGP Mark 83 炸\t弹
weapons/us_2000lb_mk_84_ldgp;2,000 磅 LDGP Mark 84 炸\t弹
weapons/us_3000lb_m118;3,000 磅 M118 爆\t破\t炸\t弹
weapons/us_3000lb_m118/short;3,000 磅
weapons/us_3000lb_m118_90;3,000 磅 M118 爆\t破\t炸\t弹
weapons/us_3000lb_m118_90/short;3,000 磅
weapons/us_4000lb_anm56_box;4,000 磅 AN-M56 炸弹
weapons/us_4000lb_anm56_box/short;4,000 磅
weapons/us_250lb_mk_81_ldgp/short;250 磅
weapons/us_500lb_mk_82_ldgp/short;500 磅
weapons/us_500lb_mk_82_ldgp_default/short;500 磅
weapons/us_1000lb_mk_83_ldgp/short;1,000 磅
weapons/us_1000lb_mk_83_ldgp_default/short;1,000 磅
weapons/us_2000lb_mk_84_ldgp/short;2,000 磅
weapons/us_2000lb_mk_84_ldgp_air;2,000 磅 LDGP Mark 84 AIR 球\t伞\t减\t速\t高\t阻\t炸\t弹
weapons/us_2000lb_mk_84_ldgp_air/short;Mk 84 AIR
weapons/cannonBK37;37 毫\t米 BK 3.7 机\t炮
weapons/cannonBK37_underwing;37 毫\t米 BK 3.7 机\t炮
weapons/cannonHo155;30 毫\t米 Ho-155 机\t炮
weapons/cannonHo203;37 毫\t米 Ho-203 机\t炮
weapons/cannonHo204;37 毫\t米 Ho-204 机\t炮
weapons/cannonType94;37 毫\t米\t九\t四\t式\t战\t车\t炮
weapons/cannonType98;37 毫\t米\t九\t八\t式\t战\t车\t炮
weapons/cannonHo5;20 毫\t米 Ho-5 机\t炮
weapons/cannonHo5_turret;20 毫\t米 Ho-5 机\t炮
weapons/cannonHo401;57 毫\t米 Ho-401 机\t炮
weapons/china_250kg_mk_82;500 磅 LDGP Mark 82 Mod 0 炸\t弹
weapons/china_250kg_mk_82/short;500 磅
weapons/us_300lb_m_31;300 磅 HE M31 炸\t弹
weapons/us_300lb_m_31/short;300 磅
weapons/us_600lb_m_32;600 磅 GP M32 炸\t弹
weapons/us_600lb_m_32/short;600 磅
weapons/us_1000lb_anm_44;1,000 磅 GP AN-M44 炸\t弹
weapons/us_1000lb_anm_44/short;1,000 磅
weapons/us_600lb_m62_ap;600 磅 AP AN-M62 炸\t弹
weapons/us_600lb_m62_ap/short;600 磅
weapons/us_1000lb_anmk33_box_ap;1,000 磅 AP AN-Mk 33 炸\t弹
weapons/us_1000lb_anmk33_box_ap/short;AN-Mk 33
weapons/us_1000lb_anmk33_box_ap_45;1,000 磅 AP AN-Mk 33 炸\t弹
weapons/us_1000lb_anmk33_box_ap_45/short;AN-Mk 33
weapons/us_1400lb_m63_ap;1,400 磅 AP M63 炸\t弹
weapons/us_1400lb_m63_ap/short;1,400 磅
weapons/us_1000lb_gp_mk9;1,000 磅 GP Mark 9 炸\t弹
weapons/us_1000lb_gp_mk9/short;1,000 磅
weapons/us_2000lbs_m_34;2,000 磅 GP AN-M34 炸\t弹
weapons/us_2000lbs_m_34/short;2,000 磅
weapons/fr_130kg_samp_mk81;130 千\t克 SAMP Mark 81 炸\t弹
weapons/fr_130kg_samp_mk81/short;130 千\t克
weapons/fr_250kg_samp_mk82;250 千\t克 SAMP Mark 82 炸\t弹
weapons/fr_250kg_samp_mk82/short;250 千\t克
weapons/fr_500kg_samp_mk83;500 千\t克 SAMP Mark 83 炸\t弹
weapons/fr_500kg_samp_mk83/short;500 千\t克
weapons/fr_1000kg_samp_mk84;1,000 千\t克 SAMP Mark 84 炸\t弹
weapons/fr_1000kg_samp_mk84/short;1,000 千\t克
weapons/lau_131a_x3;LAU-131/A 火\t箭\t弹\t发\t射\t器
weapons/lau_131a_x3/short;LAU-131/A
weapons/us_500lb_mk_82_x3_ter9a_1;500 磅 Mark 82 Mod 0 炸\t弹
weapons/us_500lb_mk_82_x3_ter9a_1/short;500 磅
weapons/dra_lau_105a_aim_9l_lm;AIM-9L\t“响\t尾\t蛇”\t空\t对\t空\t导\t弹
weapons/dra_lau_105a_aim_9l_lm/short;AIM-9L\t“响\t尾\t蛇”
weapons/dra_lau_105a_aim_9l_rm;AIM-9L\t“响\t尾\t蛇”\t空\t对\t空\t导\t弹
weapons/dra_lau_105a_aim_9l_rm/short;AIM-9L\t“响\t尾\t蛇”
weapons_types/short/guns;M
weapons_types/short/cannons;C
weapons_types/short/turrets;T
weapons_types/short/rockets;R
weapons_types/short/bombs;B
weapons_types/short/torpedoes;T
weapons_types/short/separator;／
weapons_types/short/separatorVertical;|
weapons_types/guns;机\t枪
weapons_types/additional gun;机\t枪
weapons_types/cannons;炮
weapons_types/turrets;炮\t塔
weapons_types/in_turret;炮\t塔\t内
weapons_types/bombs;炸\t弹
weapons_types/torpedoes;鱼\t雷
weapons_types/rockets;火\t箭\t弹
weapons/counter; ×%d
weapons/counter/left/short;%d×
weapons/counter/right/short;×%d
weapons/drop_speed_range;投\t放\t速\t度：%s
weapons/drop_height_range;投\t放\t高\t度：%s
weapons/drop_speed_range_text;投\t放\t速\t度
weapons/drop_height_range_text;投\t放\t高\t度
weapons/88mm_Flak41_user_cannon;88 毫\t米 FlaK 41 高\t射\t炮
weapons/128mm_KwK44_user_cannon;128 毫\t米 KwK 44 坦\t克\t炮
128mm_pzgr_ts;Tsp.PzGr.
weapons/128mm_PaK44_user_cannon;128 毫\t米 PaK 44 反\t坦\t克\t炮
weapons/100mm_LB1_user_cannon;100 毫\t米 LB-1 坦\t克\t炮
weapons/100mm_C34_user_cannon;100 毫\t米 S-34 坦\t克\t炮
weapons/100mm_D10S_user_cannon;100 毫\t米 D-10S 反\t坦\t克\t炮
weapons/100mm_D10T_user_cannon;100 毫\t米 D-10T 坦\t克\t炮
weapons/105mm_Kwk46_user_cannon;105 毫\t米 KwK L/68 坦\t克\t炮
weapons/105mm_M4_user_cannon;105 毫\t米 M4 榴\t弹\t炮
weapons/380mm_RW_61_user_cannon;380 毫\t米 RW 61 火\t箭\t推\t进\t迫\t击\t炮
380mm_sprgr4581;R SprGr.4581
weapons/380mm_sprgr4581/short;R SprGr.4581
weapons/105mm_StuH42_user_cannon;105 毫\t米 StuH 42 榴\t弹\t炮
weapons/105mm_GT_8_user_cannon;105 毫\t米 GT 8 坦\t克\t炮
weapons/105mm_GT_7_user_cannon;105 毫\t米 GT 7 坦\t克\t炮
weapons/105mm_GT3_user_cannon;105 毫\t米 GT 3 坦\t克\t炮
weapons/105mm_GT3_TTD_user_cannon;105 毫\t米 GT 3 坦\t克\t炮
weapons/90mm_GT_2_user_cannon;90 毫\t米 GT 2 坦\t克\t炮
weapons/76mm_GT_4_user_cannon;76 毫\t米 GT 4 坦\t克\t炮
weapons/20mm_GI_2_user_cannon;20 毫\t米 GI 2 机\t关\t炮
weapons/35mm_GA_35_user_cannon;35 毫\t米 GA 35 机\t关\t炮
weapons/105mm_GT3B_user_cannon;105 毫\t米 GT 3B 坦\t克\t炮
76mm_gt4_he;榴\t弹
weapons/105mm_L7A3_GA_2_user_cannon;105 毫\t米 L7A3 坦\t克\t炮
weapons/105mm_L7A3_user_cannon;105 毫\t米 L7A3 坦\t克\t炮
weapons/105mm_LRF_user_cannon;105 毫\t米\t低\t后\t坐\t力\t坦\t克\t炮
weapons/105mm_M68A1_E8_user_cannon;105 毫\t米 M68A1E8 坦\t克\t炮
weapons/105mm_M68A1_AGS_user_cannon;105 毫\t米 M68A1 坦\t克\t炮
105mm_m900;M900
weapons/105mm_M68_XM_user_cannon;105 毫\t米 M68 坦\t克\t炮
weapons/105mm_M68_user_cannon;105 毫\t米 M68 坦\t克\t炮
weapons/105mm_M68_TTS_user_cannon;105 毫\t米 M68 坦\t克\t炮
weapons/120mm_TKG_user_cannon;120 毫\t米 10 式\t战\t车\t炮
120mm_type_10;10 式
weapons/105mm_CN_105_57_user_cannon;105 毫\t米 CN105-57 坦\t克\t炮
weapons/152mm_2A33_user_cannon;152 毫\t米 2A33 榴\t弹\t炮
152mm_3of25;3OF25
152mm_3of25_vt;3OF25\t（近\t炸\t引\t信）
152mm_3of45;3OF45
152mm_3of45_vt;3OF45\t（近\t炸\t引\t信）
weapons/152mm_pl_66_gai_user_cannon;152 毫\t米 PL66 式\t加\t农\t榴\t弹\t炮
152mm_ddb_1;DDB1 式\t杀\t伤\t爆\t破\t弹
152mm_ddb_1_vt;DDB1 式\t近\t炸\t杀\t伤\t爆\t破\t弹
152mm_bee_7;BEE7 式\t杀\t伤\t爆\t破\t弹
152mm_bee_7_vt;BEE7 式\t近\t炸\t杀\t伤\t爆\t破\t弹
weapons/105mm_T15E2_user_cannon;105 毫\t米 T5E1 坦\t克\t炮
weapons/122mm_M62T2S_user_cannon;122 毫\t米 M-62T2S 坦\t克\t炮
weapons/122mm_M30_user_cannon;122 毫\t米 M-30 榴\t弹\t炮
weapons/122mm_A19_user_cannon;122 毫\t米 A-19 坦\t克\t炮
weapons/122mm_D25S_user_cannon;122 毫\t米 D-25S 坦\t克\t炮
weapons/122mm_D25T_user_cannon;122 毫\t米 D-25T 坦\t克\t炮
weapons/122mm_D25TS_user_cannon;122 毫\t米 D-25TS 坦\t克\t炮
weapons/122mm_D30T_user_cannon;122 毫\t米 D-30T 坦\t克\t炮
weapons/122mm_D49_user_cannon;122 毫\t米 D-49 反\t坦\t克\t炮
weapons/130mm_B13_user_cannon;130 毫\t米 B-13 1936 型\t舰\t炮
weapons/152mm_M10T_user_cannon;152 毫\t米 M-10T 榴\t弹\t炮
weapons/152mm_ML20S_user_cannon;152 毫\t米 ML-20S 榴\t弹\t炮
weapons/20mm_FlaK38_user_cannon;20 毫\t米 FlaK 38 高\t射\t炮
weapons/20mm_FlaK38_wirbelwind_user_cannon;20 毫\t米 FlaK 38 高\t射\t炮
weapons/20mm_65_c38_vierling_naval_user_cannon;20 毫\t米 C/38 四\t联\t装\t防\t空\t炮
weapons/20mm_KwK30_222_user_cannon;20 毫\t米 KwK 30 L/55 机\t关\t炮
weapons/20mm_KwK30_user_cannon;20 毫\t米 KwK 30 L/55 机\t关\t炮
weapons/20mm_KwK38_user_cannon;20 毫\t米 KwK 38 L/55 机\t关\t炮
weapons/20mm_65_breda_naval_user_cannon;20 毫\t米\t/65 布\t雷\t达\t防\t空\t炮
weapons/20mm_TNSh_user_cannon;20 毫\t米 TNSh 机\t关\t炮
weapons/25mm_72K_user_cannon;25 毫\t米 72-K 高\t射\t炮
weapons/37mm_Sh_37_user_cannon;37 毫\t米 Sh-37 高\t射\t炮
weapons/30mm_MK103_38_user_cannon;30 毫\t米 MK 103/38 机\t关\t炮
weapons/30mm_mk103_45_user_cannon;30 毫\t米 MK 103/38 机\t关\t炮
weapons/30mm_38_mk103_1942_naval_user_cannon;30 毫\t米 MK 103/38 机\t关\t炮
weapons/37mm_PaK_user_cannon;37 毫\t米 PaK 36 L/45 反\t坦\t克\t炮
weapons/37mm_KwK38_t_user_cannon;37 毫\t米 KwK 38(t) 坦\t克\t炮
weapons/37mm_61_K_user_cannon;37 毫\t米 61-K 高\t射\t炮
weapons/37mm_FlaK43_user_cannon;37 毫\t米 FlaK 43 高\t射\t炮
weapons/37mm_FlaK44_user_cannon;37 毫\t米 FlaK 44 高\t射\t炮
weapons/37mm_gerat_341_user_cannon;37 毫\t米 341 型\t高\t射\t炮
37mm_pzgr_341;PzGr.
37mm_sprgr_341;SprGr.
weapons/37mm_FlaK36_user_cannon;37 毫\t米 FlaK 36 高\t射\t炮
weapons/37mm_KwK34_t_user_cannon;37 毫\t米 KwK 34(t) L/40 坦\t克\t炮
weapons/37mm_KwK36_user_cannon;37 毫\t米 KwK 36 L/46 坦\t克\t炮
weapons/37mm_KwK36_for_nbfz_user_cannon;37 毫\t米 KwK 36 L/46 坦\t克\t炮
weapons/37mm_M1A2_user_cannon;37 毫\t米 M1A2 高\t射\t炮
weapons/37mm_M5_early_user_cannon;37 毫\t米 M5 坦\t克\t炮
weapons/37mm_M5_user_cannon;37 毫\t米 M5 坦\t克\t炮
weapons/37mm_M6_user_cannon;37 毫\t米 M6 坦\t克\t炮
weapons/37mm_M3_user_cannon;37 毫\t米 M3 坦\t克\t炮
weapons/37mm_M5_user_cannon_for_M3_Lee;37 毫\t米 M5 坦\t克\t炮
weapons/37mm_M3_user_cannon_for_M6A1;37 毫\t米 M3 坦\t克\t炮
weapons/37mm_type_65_user_cannon;37 毫\t米 1965 年\t式\t双\t管\t高\t射\t炮
weapons/45mm_20K_for_tutorial_user_cannon;45 毫\t米 20-K 坦\t克\t炮
weapons/88mm_Kwk43_for_tutorial_user_cannon;88 毫\t米 KwK 43 L/71 坦\t克\t炮
weapons/45mm_20K_user_cannon_for_T_35;45 毫\t米 20-K 坦\t克\t炮
weapons/40mm_Bofors_L60_user_cannon;40 毫\t米\t博\t福\t斯 L/60 高\t射\t炮
weapons/40mm_cannone_da_40_70_user_cannon;40 毫\t米\t博\t福\t斯 DA 40/70 高\t射\t炮
40mm_im219_ap;IM219
40mm_m2_he;M2
weapons/40mm_M2_user_cannon;40 毫\t米 M2 双\t联\t装\t机\t关\t炮
weapons/45mm_20K_user_cannon;45 毫\t米 20-K 坦\t克\t炮
weapons/50mm_KwK38_user_cannon;50 毫\t米 KwK 38 L/42 坦\t克\t炮
weapons/50mm_KwK38_open_turret_user_cannon;50 毫\t米 KwK 38 L/42 坦\t克\t炮
weapons/50mm_PaK38_user_cannon;50 毫\t米 PaK 38 反\t坦\t克\t炮
weapons/50mm_KwK39_user_cannon;50 毫\t米 KwK 39 L/60 坦\t克\t炮
weapons/57mm_ZIS2_user_cannon;57 毫\t米 ZiS-2 反\t坦\t克\t炮
weapons/57mm_M1_user_cannon;57 毫\t米 M1 反\t坦\t克\t炮
weapons/57mm_M1_open_turret_user_cannon;57 毫\t米 M1 反\t坦\t克\t炮
weapons/57mm_S_68_user_cannon;57 毫\t米 S-68 高\t射\t炮
weapons/57mm_AU_220_user_cannon;57 毫\t米 AU-220 机\t关\t炮
weapons/57mm_AU_220M_user_cannon;57 毫\t米 2A90 机\t关\t炮
weapons/57mm_ZIS4M_user_cannon;57 毫\t米 ZiS-4M 坦\t克\t炮
weapons/57mm_ZIS4_user_cannon;57 毫\t米 ZiS-4 反\t坦\t克\t炮
weapons/57mm_ZIS4_open_turret_user_cannon;57 毫\t米 ZiS-4 反\t坦\t克\t炮
weapons/75mm_StuK37_user_cannon;75 毫\t米 StuK 37 L/24 榴\t弹\t炮
weapons/75mm_KwK51_user_cannon;75 毫\t米 K 51 L/24 坦\t克\t炮
weapons/75mm_KwK44_L36_user_cannon;75 毫\t米 KwK 44 L/36.5 坦\t克\t炮
weapons/75mm_KwK37_user_cannon;75 毫\t米 KwK 37 L/24 坦\t克\t炮
weapons/75mm_KwK37_for_nbfz_user_cannon;75 毫\t米 KwK 37 L/24 坦\t克\t炮
weapons/75mm_KwK40_L43_user_cannon;75 毫\t米 KwK 40 L/43 坦\t克\t炮
weapons/76mm_PaK36_R_user_cannon;76 毫\t米 PaK 36(r) 反\t坦\t克\t炮
weapons/75mm_PaK39_L48_hetzer_user_cannon;75 毫\t米 PaK 39 L/48 反\t坦\t克\t炮
weapons/75mm_PaK39_L48_user_cannon;75 毫\t米 PaK 39 L/48 反\t坦\t克\t炮
weapons/75mm_PaK42_user_cannon;75 毫\t米 PaK 42 反\t坦\t克\t炮
weapons/75mm_PaK40_3_L46_user_cannon;75 毫\t米 PaK 40/3 反\t坦\t克\t炮
weapons/75mm_StuK40_L48_user_cannon;75 毫\t米 StuK 40 L/48 坦\t克\t炮
weapons/75mm_StuK40_L43_user_cannon;75 毫\t米 StuK 40 L/43 坦\t克\t炮
weapons/75mm_KwK40_L48_user_cannon;75 毫\t米 KwK 40 L/48 坦\t克\t炮
weapons/75mm_Kwk44_user_cannon;75 毫\t米 KwK 44/1 L/70 坦\t克\t炮
weapons/75mm_Kwk42_user_cannon;75 毫\t米 KwK 42 L/70 坦\t克\t炮
weapons/75mm_m1897a4_user_cannon;75 毫\t米 M1897A4 反\t坦\t克\t炮
weapons/75mm_M32_user_cannon;75 毫\t米 M32 坦\t克\t炮
weapons/75mm_M2_user_cannon;75 毫\t米 M2 坦\t克\t炮
weapons/75mm_M6_user_cannon;75 毫\t米 M6 坦\t克\t炮
weapons/75mm_m3_user_cannon;75 毫\t米 M3 坦\t克\t炮
weapons/75mm_m3_open_turret_user_cannon;75 毫\t米 M3 坦\t克\t炮
weapons/30mm_ZPZ02_user_cannon;30 毫\t米 ZPZ02 式\t机\t关\t炮
weapons/30mm_zpt_99_user_cannon;30 毫\t米 ZPT99 式\t机\t关\t炮
30mm_zpz02_hei;DTY02 式\t爆\t破\t燃\t烧\t弹
30mm_zpz02_apds;DTC04 式\t易\t碎\t穿\t甲\t弹
30mm_dtc10_30;DTC10 式\t易\t碎\t穿\t甲\t弹
weapons/25mm_PG87_PGZ_user_cannon;25 毫\t米 PG87 式\t双\t管\t高\t射\t炮
weapons/25mm_PG87_user_cannon;25 毫\t米 PG87 式\t双\t管\t高\t射\t炮
25mm_type_87_api;1987 年\t式\t穿\t甲\t弹
25mm_type_87_he;WBO41P 式\t榴\t弹
weapons/57mm_WA_318_user_cannon;57 毫\t米 WA318 型\t高\t射\t炮
57mm_dky_1;DKY-I 式\t预\t制\t破\t片\t榴\t弹
type_59_he;1959 年\t式\t杀\t伤\t爆\t破\t弹
type_59_ap;1959 年\t式\t穿\t甲\t弹
type_59_apcbc;1959 年\t式\t被\t帽\t风\t帽\t穿\t甲\t弹
weapons/76mm_M7_for_M10_user_cannon;76 毫\t米 M7 反\t坦\t克\t炮
weapons/76mm_M7_user_cannon;76 毫\t米 M7 坦\t克\t炮
weapons/76mm_M1_user_cannon;76 毫\t米 M1 坦\t克\t炮
weapons/76mm_M1_open_turret_user_cannon;76 毫\t米 M1 坦\t克\t炮
weapons/76mm_M1_no_MB_user_cannon;76 毫\t米 M1 坦\t克\t炮
weapons/76mm_M1_open_turret_no_MB_user_cannon;76 毫\t米 M1 坦\t克\t炮
weapons/76mm_M1A1_user_cannon;76 毫\t米 M1A1 坦\t克\t炮
weapons/76mm_M1A2_user_cannon;76 毫\t米 M1A2 坦\t克\t炮
weapons/76mm_T185E1_user_cannon;76 毫\t米 T185E1 坦\t克\t炮
weapons/76mm_M32_user_cannon;76 毫\t米 M32 坦\t克\t炮
weapons/76mm_KwK_M32_user_cannon;76 毫\t米 M32 坦\t克\t炮
weapons/7_62mm_Ksp_39_Strv_user_machinegun;7.62 毫\t米 m/39C 机\t枪
weapons/7_62mm_Ksp_58_Strv_user_machinegun;7.62 毫\t米 58 型\t机\t枪
weapons/76mm_D56_TS_user_cannon;76 毫\t米 D-56TS 坦\t克\t炮
weapons/76mm_D56_T_user_cannon;76 毫\t米 D-56T 坦\t克\t炮
weapons/76mm_52_d56ts_naval_user_cannon;76 毫\t米 D-56TS 坦\t克\t炮
weapons/76mm_KT28_for_T26_user_cannon;76 毫\t米 KT-28 坦\t克\t炮
weapons/76mm_KT28_user_cannon;76 毫\t米 KT-28 坦\t克\t炮
weapons/76mm_F32_user_cannon;76 毫\t米 F-32 坦\t克\t炮
weapons/76mm_F34_user_cannon;76 毫\t米 F-34 坦\t克\t炮
weapons/76mm_L10_user_cannon;76 毫\t米 L-10 坦\t克\t炮
weapons/76mm_L11_T34_early_user_cannon;76 毫\t米 L-11 坦\t克\t炮
weapons/76mm_L11_SMK_user_cannon;76 毫\t米 L-11 坦\t克\t炮
weapons/76mm_L11_user_cannon;76 毫\t米 L-11 坦\t克\t炮
weapons/76mm_ZIS3_user_cannon;76 毫\t米 ZiS-3 反\t坦\t克\t炮
weapons/76mm_ZIS5_user_cannon;76 毫\t米 ZiS-5 坦\t克\t炮
weapons/76mm_F96_user_cannon;76 毫\t米 F-96 坦\t克\t炮
weapons/85mm_F30_user_cannon;85 毫\t米 F-30 坦\t克\t炮
weapons/85mm_D5T_user_cannon;85 毫\t米 D-5T 坦\t克\t炮
weapons/85mm_D5S_user_cannon;85 毫\t米 D-5S 反\t坦\t克\t炮
weapons/85mm_ZiS_S_53_user_cannon;85 毫\t米 ZiS-S-53 坦\t克\t炮
weapons/88mm_Kwk36_user_cannon;88 毫\t米 KwK 36 L/56 坦\t克\t炮
weapons/88mm_Kwk43_user_cannon;88 毫\t米 KwK 43 L/71 坦\t克\t炮
weapons/88mm_Kwk43_for_panther_II_user_cannon;88 毫\t米 KwK 43 L/71 坦\t克\t炮
weapons/88mm_StuK43_user_cannon;88 毫\t米 StuK 43 L/71 坦\t克\t炮
weapons/88mm_PaK43_user_cannon;88 毫\t米 PaK 43 反\t坦\t克\t炮
weapons/88mm_PaK43_open_turret_user_cannon;88 毫\t米 PaK 43 反\t坦\t克\t炮
